Date,series,OPEN,HIGH,LOW,PREV_CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades
11-Apr-2022,EQ,757,765.2,756,762.1,758.4,758.05,761.44,781.8,518.5,4927865,3752283488,64881
08-Apr-2022,EQ,768.35,768.35,757.6,762.4,762.8,762.1,762.21,781.8,514.6,5583587,4255846177.1,85314
07-Apr-2022,EQ,775,777.85,759.55,775.65,763.35,762.4,766.75,781.8,514.6,5818505,4461357930.2,99161
06-Apr-2022,EQ,764,780.7,763,766.6,773.8,775.65,774.03,781.8,514.6,7490027,5797540256.45,125133
05-Apr-2022,EQ,767.8,773.8,761,767.8,764.9,766.6,767.2,781.8,514.6,3990794,3061725446.95,105537
04-Apr-2022,EQ,757.85,775,756.2,758.5,766.9,767.8,767.53,781.8,514.6,5783224,4438803621,132468
01-Apr-2022,EQ,759.8,766.65,749.25,754.95,758.35,758.5,757.01,781.8,514.55,5920139,4481591819.5,106388
31-Mar-2022,EQ,753,759,739.7,749.5,757,754.95,748.4,781.8,514.55,7371181,5516573660.2,122409
30-Mar-2022,EQ,762.75,769.9,744.6,754.95,748.65,749.5,756.69,781.8,514.55,9938988,7520695972.55,181513
29-Mar-2022,EQ,740.4,763,737,733.05,753.5,754.95,751.53,781.8,514.55,15833573,11899377451.9,217096
28-Mar-2022,EQ,715.25,737,710.1,709.35,737,733.05,722.55,781.8,514.55,7960258,5751720380.8,128264
25-Mar-2022,EQ,712.3,714.45,705.85,706.35,711.25,709.35,709.95,781.8,499.55,2930336,2080398006.35,75077
24-Mar-2022,EQ,698,708.85,697.85,704.95,705.8,706.35,704.7,781.8,499.55,3597143,2534906530.5,92634
23-Mar-2022,EQ,719.25,719.85,703,719.25,705.8,704.95,706.42,781.8,499.55,7974713,5633501331,128384
22-Mar-2022,EQ,708.5,721,705.85,708.2,717.5,719.25,714.25,781.8,499.55,3000133,2142849722.2,72315
21-Mar-2022,EQ,722,724.35,706.8,722.9,707.5,708.2,714.53,781.8,499.55,6317305,4513922556.25,134043
17-Mar-2022,EQ,720,727.95,715,712,723.85,722.9,723.45,781.8,499.55,8168953,5909814621.8,118266
16-Mar-2022,EQ,710,715.5,705,703.1,713.2,712,709.69,781.8,499.55,3843706,2727848498.4,58888
15-Mar-2022,EQ,699,709.5,695.5,700.4,701,703.1,703.6,781.8,499.55,6006439,4226116846.1,108680
14-Mar-2022,EQ,688.15,704.85,688.15,694.85,699.4,700.4,699.75,781.8,499.55,4016137,2810303856.7,82492
11-Mar-2022,EQ,696.7,702.4,691.5,697.75,694.4,694.85,696.36,781.8,499.55,3353880,2335501660,109928
10-Mar-2022,EQ,699.95,707.5,690.6,691.5,697,697.75,700.04,781.8,499.55,5989327,4192789257.55,141335
09-Mar-2022,EQ,682,698,674.3,683,691.35,691.5,690.95,781.8,499.55,9896395,6837953186.8,172243
08-Mar-2022,EQ,675,686.85,667.6,675.4,681.5,683,679.19,781.8,499.55,8462985,5747955862.95,172611
07-Mar-2022,EQ,640,679.35,639,653.7,677.2,675.4,665.01,781.8,499.55,12615451,8389449156.9,287557
04-Mar-2022,EQ,665,667.95,650,672.05,654.75,653.7,657.18,781.8,499.55,7094874,4662610397.7,141743
03-Mar-2022,EQ,675,679.8,668.6,674.25,672.2,672.05,672.86,781.8,499.55,6517030,4385023860.95,170940
02-Mar-2022,EQ,684,684,666,686.5,675,674.25,672.92,781.8,499.55,10220908,6877819127.45,224046
28-Feb-2022,EQ,681,690,666.45,688.65,686,686.5,681.09,781.8,499.55,8301523,5654064694.55,193009
25-Feb-2022,EQ,677.5,695.15,677.5,670.9,689,688.65,689.84,781.8,499.55,6452099,4450902016.3,121428
24-Feb-2022,EQ,682,688.55,645.45,704.4,670,670.9,675.3,781.8,499.55,14139461,9548316519.05,257679
23-Feb-2022,EQ,700.1,708.95,699.5,699.25,701.2,704.4,704.91,781.8,499.55,4124469,2907363092.2,99194
22-Feb-2022,EQ,694.2,702.5,687.5,709.95,696.1,699.25,693.88,781.8,499.55,9148804,6348204854.45,162755
21-Feb-2022,EQ,708.05,716.55,703,712.55,710.25,709.95,711.19,781.8,499.55,4307430,3063380672.4,68370
18-Feb-2022,EQ,712.05,719.55,711.35,717,712,712.55,715.65,781.8,499.55,4099366,2933719343.75,78724
17-Feb-2022,EQ,724.45,727.5,715,721.8,716.15,717,720.02,781.8,499.55,5107708,3677661983.35,88553
16-Feb-2022,EQ,717.4,728.2,708,711.55,719.7,721.8,719.33,781.8,499.55,5433910,3908776019.45,105402
15-Feb-2022,EQ,696,713.1,686.6,689.7,710.05,711.55,698.99,781.8,499.55,4650249,3250471564.1,94669
14-Feb-2022,EQ,704,704,685,715.15,689,689.7,695,781.8,499.55,7441445,5171789239.2,199472
11-Feb-2022,EQ,721.7,725.4,710.9,724.05,713.2,715.15,716.33,781.8,499.55,5646980,4045110736.1,118668
10-Feb-2022,EQ,722.95,726.95,708.6,719.35,721.5,724.05,718.87,781.8,499.55,6074014,4366441126.25,176435
09-Feb-2022,EQ,707.1,726.1,702.15,708.9,719.9,719.35,715.86,781.8,499.55,10185173,7291175686.95,144952
08-Feb-2022,EQ,711.2,714.7,701,706.5,706.95,708.9,706.62,781.8,499.55,7167684,5064859595.8,111904
07-Feb-2022,EQ,718,720.1,699.5,720.2,708,706.5,707.6,781.8,499.55,6833983,4835739601.35,115571
04-Feb-2022,EQ,721.1,723.25,716.5,721.65,719,720.2,720.08,781.8,499.55,3284198,2364897340.35,93139
03-Feb-2022,EQ,726,729,718.5,725.05,720,721.65,723.41,781.8,499.55,3651578,2641591234.9,105929
02-Feb-2022,EQ,726.1,731.75,720.5,723.05,725.1,725.05,724.74,781.8,499.55,3286577,2381909149.9,85137
01-Feb-2022,EQ,733,735,718.3,729.3,725.05,723.05,727.18,781.8,499.55,4814511,3501028779.55,106248
31-Jan-2022,EQ,728,735,719.55,715.8,729.55,729.3,728.03,781.8,499.55,10745370,7822973341.7,240581
28-Jan-2022,EQ,714.9,754,701.65,707.25,717,715.8,718.56,781.8,499.55,21450677,15413494337.7,360964
27-Jan-2022,EQ,706.5,716,701.5,711.85,709.6,707.25,708.61,781.8,499.55,8937312,6333036738.35,201463
25-Jan-2022,EQ,684,720.45,682.15,689.9,709.4,711.85,709.71,781.8,499.55,14128764,10027351546.55,203434
24-Jan-2022,EQ,690.3,707,677.35,695.25,687.65,689.9,693.63,781.8,499.55,11091633,7693451056.85,181824
21-Jan-2022,EQ,709.6,714,689.35,715.4,694.4,695.25,698.82,781.8,499.55,6704622,4685308745.05,169089
20-Jan-2022,EQ,706,719.65,705.25,703.7,719,715.4,712.67,781.8,499.55,4812496,3429736090.65,92833
19-Jan-2022,EQ,714,715,701.7,714.35,703.45,703.7,705.92,781.8,499.55,5879490,4150449660.05,139649
18-Jan-2022,EQ,727,730.7,712.55,728.6,713.85,714.35,719.88,781.8,499.55,4312058,3104152905.65,88796
17-Jan-2022,EQ,720,734.75,719.55,720.6,728,728.6,728.48,781.8,499.55,4340924,3162261276.5,109351
14-Jan-2022,EQ,729.95,730.9,718.45,731.8,721.55,720.6,723,781.8,499.55,5344096,3863767970.55,145842
13-Jan-2022,EQ,729,735.65,726.15,730.2,731.65,731.8,731.66,781.8,499.55,5829874,4265485873.75,156288
12-Jan-2022,EQ,707.95,732.7,704.2,703.45,729.15,730.2,718.93,781.8,499.55,12366953,8890964593.6,168773
11-Jan-2022,EQ,703,709.55,694.6,704.95,703,703.45,701.16,781.8,499.55,10642484,7462080833.75,131814
10-Jan-2022,EQ,705.4,711.35,703.65,704.7,706.5,704.95,706.39,781.8,499.55,3565324,2518498799.95,83493
07-Jan-2022,EQ,713.9,715.15,701.45,710.4,705.4,704.7,707.5,781.8,499.55,4315015,3052867348.25,94630
06-Jan-2022,EQ,702,720.5,700,700,710.75,710.4,711.67,781.8,499.55,21642414,15402157764.95,185013
05-Jan-2022,EQ,700.9,702.75,691.75,697.45,700,700,698.61,781.8,499.55,4586105,3203921431.85,103288
04-Jan-2022,EQ,692.25,703.25,690.4,691.3,697.25,697.45,697.46,781.8,499.55,6473875,4515251886.35,140355
03-Jan-2022,EQ,687.8,692.6,683.1,683.8,691.75,691.3,688.78,781.8,499.55,2939833,2024900233.75,180368
